d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosaetaceae;g__Methanosaeta,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-01,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured;g__uncultured,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__uncultured,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__DMER64,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Thermovirga,d__Bacteria;p__Firmicutes;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JGI-0000079-D21,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;__,d__Bacteria;p__Firmicutes;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfotomaculales;g__Pelotomaculum,Average-Total-ISD-Cells,ACE-Xi,ACE-km,ACE-Ks,H2-Xi,H2-km,H2-Ks
0.851512092,1.479173068,0.6232717379999999,0.0,0.36430672,4.2048896110000005,0.0,0.030724663,0.136066366,0.0,0.0,0.0,0.0,0.285300443,0.447702234,0.0,0.0,328429884,0.001,3.8,0.01,0.018,5.5,0.0003
0.618880942,0.979049358,0.6645360920000001,0.0,1.313853803,4.2357834930000005,0.284076498,0.060873535,1.136305991,0.06594633,0.045655151,0.0,0.0,0.218130168,0.162329427,0.304367676,0.0,161624739,0.001,3.6,0.01,0.022,4.8,0.0008
3.301404454,0.709530666,4.893674742,0.014607984,0.6406644539999999,1.262547215,3.791815355,2.406143701,0.8618710729999999,0.112690164,0.0,0.0,0.196164361,1.227070682,1.500448673,3.426615747,0.0,848236596,0.057,11.4,0.0129,0.002,62.1,0.00029
1.932894275,0.4481508899999999,4.58672694,0.0,0.487120534,1.27041035,4.009976227999999,2.778535521,0.896301781,0.077939285,0.0,0.0,0.21043607,1.406804099,1.5899614200000003,3.928139978,0.0,880049846,0.054,11.5,0.0079,0.002,65.5,0.0004
2.897854077,3.436909872,4.1819742490000005,0.044635193,2.813733906,0.7227467799999999,7.560515021,1.900429185,0.544206008,0.087553648,0.0,0.0,0.5098712440000001,0.4171673809999999,0.384549356,0.303862661,0.0,2657739994,0.025,48.7,0.009,0.001,86.7,0.00023
3.412541161,3.935683435,3.902897951,0.055592776,2.714067823,0.659986032,7.55634114,2.055507249,0.4818040549999999,0.125440109,0.0,0.011403646,0.454720396,0.434764016,0.344960301,0.353513036,0.0,2219547860,0.037,37.6,0.001,0.002,78.9,0.00014
2.746671845,3.836278508,3.782337583,0.07120202,2.690573285,0.671025093,7.812803417,1.754158845,0.612768896,0.056098561,0.0,0.0,0.435842665,0.356010098,0.416423932,0.280492804,0.0,2268637166,0.04,33.6,0.006,0.002,78.2,0.00019
4.644742896,2.094516136,4.894507373000001,1.051639902,7.545516289,1.91924282,8.161163816,0.762438928,1.338649958,0.609074776,0.0,0.0,0.181846066,0.501719869,2.451635518,1.614705432,0.0,729027670,0.027,16.7,0.015,0.002,47.8,9e-05
5.965786055000001,2.490255521,4.298397575,1.245127761,7.219575572999999,1.805976613,7.343005632000001,0.6907752269999999,1.340407101,0.599826765,0.019488956,0.0,0.2187093989999999,0.530532699,2.823733218,1.546123864,0.0,675845374,0.032,15.2,0.021,0.004,37.3,7e-05
6.126182965,2.638801262,3.320189274,1.3533123029999998,7.34384858,1.799684543,6.851735015,0.837539432,1.4164037850000002,0.632492114,0.03785489,0.0,0.2097791789999999,0.54258675,3.023659305,1.440063091,0.0,733787399,0.031,15.2,0.043,0.003,49.6,0.00016
1.5794179,0.506605742,5.9153670410000005,0.0,0.834409457,0.372504221,3.650541373,0.13410152,0.213569087,0.0,0.0,0.0,0.0,0.183768749,0.0,0.35263733,0.0,1830221735,0.007,5.6,0.036,0.002,39.5,0.0001
2.018816776,0.631478233,5.59719343,0.0,0.854728114,0.30298198,3.664487322,0.086110668,0.293414128,0.022324988,0.0,0.0,0.0,0.19135704,0.0,0.309360549,0.0,1771447374,0.008,5.3,0.023,0.002,42.5,9e-05
1.990564953,7.628581291,1.771947992,0.0,1.694281441,0.747900126,8.744678404,1.803589921,0.399838913,0.290530434,0.0,0.0,0.1035554019999999,0.8255666789999999,0.224370038,2.888045104,0.0,397914798,0.03,28.6,0.007,0.003,66.1,0.0005
2.320466293,6.224568349,3.189266468,0.0,1.528648411,1.176729352,11.91026064,2.408446058,0.38491147,0.252941823,0.0,0.054987353,0.109974706,1.176729352,0.230946882,2.65039041,0.0,452335671,0.028,28.4,0.008,0.004,54.4,0.0006
2.154273801,6.139529262,2.34462338,0.0,1.595310754,0.918512252,10.704897725,1.79774602,0.40184911,0.280992235,0.0,0.027192797,0.093664078,1.0272834400000002,0.20847811,2.686044052,0.0,423899956,0.03,27.2,0.008,0.004,56.8,0.0005
1.3055515089999998,2.098207781,4.782165234,0.0,0.3759288939999999,1.343435815,8.751274953000001,0.262275973,1.407547719,0.0,0.0,0.0,0.090339502,0.50706688,0.0,5.688474427999999,0.0,415590483,0.009,9.8,0.035,0.005,19.9,0.0002
1.589755482,1.726314705,4.802762101,0.0,0.164901703,1.525340754,9.644173043,0.2602355,1.50730463,0.0,0.0,0.0,0.079874262,0.468939219,0.0,5.869469996,0.0,360836554,0.015,7.1,0.022,0.006,14.7,0.00025
1.108590726,1.282554193,4.625381611,0.0,0.3581600809999999,1.642419797,10.37640919,0.399092661,1.272321048,0.0,0.0,0.0,0.170552419,0.550884314,0.006822097,5.875530844,0.0,363693371,0.011,7.4,0.012,0.007,15.2,0.00032
0.56655379,0.755405053,0.065121125,0.07814535,2.88486585,1.400104193,0.905183641,1.862464184,2.148997135,1.549882782,11.337587913,2.357384735,1.4652253190000002,0.149778588,0.214899713,0.071633238,0.084657463,5623476107,0.013,7.7,0.04,0.001,13.5,0.00052
1.286319612,0.433817595,0.166464891,0.060532688,2.128732849,1.316585957,0.741525424,1.957223567,1.795803067,1.523405972,12.146892656,2.754237288,1.528450363,0.095843422,0.494350283,0.0,0.131154157,2678852247,0.017,7,0.02,0.001,12.3,0.00051
1.173474483,0.619195046,0.069909118,0.069909118,2.2121242370000003,1.657844802,0.7690003000000001,2.321981425,1.483072006,1.318286228,9.682412863,2.222111256,1.278338161,0.099870168,0.474383301,0.0,0.074902627,3311445066,0.009,9.3,0.02,0.001,13.4,0.00019
0.04798925,0.0,2.521035288,0.0,0.0,0.131170618,0.217551269,0.0,0.236746969,0.067184951,0.0,1.4428767960000002,0.076782801,0.0,0.294334069,0.0,0.591867422,4350977423,0.015,20,0.055,0.005,14.1,0.00025
0.0,0.0,1.692484223,0.0,0.0,0.143430866,0.0,0.0,0.200803213,0.0,0.0,1.204819277,0.057372347,0.0,0.458978772,0.0,0.458978772,13097500000,0.016,19.2,0.055,0.005,16.3,0.00133
0.084175084,0.0,1.01010101,0.0,0.0,0.0,0.0,0.0,0.420875421,0.0,0.0,1.473063973,0.0,0.0,0.589225589,0.0,0.547138047,5116428571,0.017,18.2,0.068,0.005,15.5,0.00016
0.777885817,1.930823726,6.417557994,0.0,0.152799,2.736491179,8.931796083,0.402833727,4.945131268,0.0,0.0,0.0,0.0,0.0,0.0,3.764411724,0.0,1022094513,0.009,9.8,0.035,0.005,19.9,0.0002
0.664117529,2.596095794,6.520426645000001,0.0,0.241497283,2.153350775,9.539142684,0.50311934,4.407325417,0.0,0.0,0.0,0.080499094,0.201247736,0.0,3.501710606,0.0,1142657046,0.015,7.1,0.022,0.006,14.7,0.00025
1.064627381,2.804018593,7.812265707,0.0,0.168690958,2.024291499,7.947218474,0.303643725,3.718698455,0.0,0.0,0.0,0.074973759,0.217423901,0.0,3.69245764,0.0,957648848,0.011,7.4,0.012,0.007,15.2,0.00032
10.647115708,1.557103668,14.201416985,0.791379685,6.469183556000001,1.4505338359999995,4.835112786,5.916599237,0.967022558,1.000572321,0.290106767,0.0,0.0,0.181563419,2.048509009,5.995539855,0.0,2176653095,0.03,27.2,0.008,0.003,96.1,0.00056
10.230256514,1.565340335,16.107856998000003,0.676630984,6.200767522,1.7774187030000002,4.625328217,6.513835588,1.120985659,1.11088669,0.232276308,0.0,0.0,0.302969097,1.181579479,6.30175722,0.0,2532078947,0.034,23.4,0.026,0.004,89.8,0.00045
9.902631033,1.118707271,17.754298736,0.849388854,7.717008494,1.646985706,4.899523513,5.852496374,0.921897659,1.056556868,0.258960017,0.0,0.0,0.072508805,1.750569712,6.070022788,0.0,2310786160,0.025,29.7,0.025,0.002,89.8,0.00043
0.981496729,1.308662304,4.703817654,0.032499892,0.823330588,4.98765004,2.9379902059999994,0.0,5.839147203,0.0,0.0,0.030333232,0.0,0.305498982,0.567664774,0.181999393,0.0,1319626523,0.015,7.9,0.002,0.003,76,0.00059
1.207565989,1.435543048,4.04303067,0.042745699,0.854913975,4.598724753,2.714351868,0.0,6.650518292,0.0,0.007124283,0.028497132,0.0,0.334841307,0.402521996,0.20660421,0.0,1352167315,0.016,7.6,0.003,0.004,65.5,0.0003
0.694241876,1.394317718,3.564552827,0.0,0.822589115,4.649670382,2.753631644,0.0,7.24578496,0.0,0.0,0.0,0.0,0.519222917,0.3617058509999999,0.204188787,0.0,1332147651,0.016,7.9,0.003,0.007,43.4,0.00031
2.645725388,0.8322538859999999,1.622409326,0.527849741,2.435233162,1.279145078,0.67357513,0.631476684,1.580310881,1.1884715030000002,6.204663213,0.8031088080000001,2.273316062,0.385362694,0.365932642,0.0,0.450129534,2885424604,0.008,15.9,0.032,0.002,25.2,0.00039
1.784654934,0.721771801,0.7761518690000001,0.350998616,2.837650781,1.300177972,0.548744315,0.721771801,1.824204073,1.260628832,8.117460945,0.7069408739999999,2.259244611,0.355942258,0.286731263,0.0,0.286731264,2443024406,0.008,16,0.011,0.002,28,0.00059
1.464757709,0.484581498,1.123348017,0.396475771,2.984581497,1.233480176,0.429515419,0.6828193840000001,1.112334803,1.1123348009999998,6.6850220270000005,0.759911895,1.960352423,0.220264317,0.286343613,0.0,0.264317181,2542953297,0.014,13.1,0.011,0.002,25.2,0.00037
